Country,Code,Country_ID,AEI_1900,AEI_1910,AEI_1920,AEI_1930,AEI_1940,AEI_1950,AEI_1960,AEI_1970,AEI_1980,AEI_1985,AEI_1990,AEI_1995,AEI_2000,AEI_2005
Afghanistan,AFG,2,600000,666667,733333,800000,1309677,1819355,2404990,2408168,2518178,2594394,2903569,3199070,3199000,3199000
Albania,ALB,6,0,7658,15316,22974,29100,39300,145391,284000,371000,399000,423384,340000,340000,362000
Algeria,DZA,65,171550,171550,171550,207750,223271,238792,251857,238000,253000,338000,455000,558000,569418,569418
American Samoa,ASM,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,7,0,0,0,0,0,0,0,0,0,0,150,150,150,150
Angola,AGO,3,37500,43648,49795,55943,62090,68238,74385,75000,80000,80000,80000,80000,80000,80000
Anguilla,AIA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,ATA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,15,0,0,0,0,0,0,0,50,340,260,180,130,130,130
Argentina,ARG,10,264595,608753,963028,1119840,910000,943333,946667,1280000,1550000,1550000,1550000,1550233,1767783,1767784
Armenia,ARM,11,97000,97000,60000,100000,174167,200000,237500,270808,272500,297360,294122,277000,279000,274442
Aruba,ABW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,16,60700,101227,141754,266189,562421,875411,1345292,2336285,2358248,2537889,2850131,3762574,3614705,3993255
Austria,AUT,17,48775,48775,46879,40120,30809,33810,41429,50000,60000,65000,70000,96140,95140,119430
Azerbaijan,AZE,18,582000,582000,360000,626266,768925,977155,1151005,1165616,1215000,1268800,1410600,1453318,1455000,1426000
Bahamas,BHS,26,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
Bahrain,BHR,25,500,582,664,746,828,910,1000,1000,1000,1000,2000,3165,4060,4060
Bangladesh,BGD,23,0,0,0,0,0,258643,410786,1058000,1520000,2073000,2790000,3751048,4421000,4869857
Barbados,BRB,33,0,0,0,0,0,0,1000,1000,1000,3000,5000,5000,5000,5000
Belarus,BLR,28,2189,2189,1232,4459,7687,29672,51658,114045,163000,159000,149000,131000,117000,114280
Belgium,BEL,20,15000,14500,14000,12000,10000,9583,9167,10912,14396,16138,17880,21960,32600,21650
Belize,BLZ,29,0,0,0,0,0,0,0,1000,1000,2000,2000,3000,3000,3548
Benin,BEN,21,0,0,0,0,0,0,2000,2000,9665,9673,9724,10236,12258,12258
Bermuda,BMU,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,35,8000,8000,8000,8000,8000,8000,8000,18000,26000,30000,39000,39000,40000,31203
Bolivia,BOL,31,3000,6333,9667,13000,14840,28203,68018,80000,140000,125000,125000,128000,128240,128240
Bosnia and Herzegovina,BIH,27,2000,2000,2000,2000,2000,2000,182,1585,1768,2000,2073,2000,3000,2603
Botswana,BWA,37,0,0,0,0,0,0,1000,1000,2000,2000,1381,1410,1439,1439
Bouvet Island,BVT,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
