County,Flood,Sprinkler,Micro,Groundwater,Surface.water,Consumptive.use
Adams,13.54,15.29,0,1.48,133.23,55.24
Alamosa,39.35,73.14,0,256.14,43.93,286.79
Arapahoe,0,1.75,0,1.89,3.97,4.6
Archuleta,16.34,0,0,1.49,76.79,18.98
Baca ,16.86,69.11,0,162.42,0.15,141.09
Bent,59.1,0,0,7.71,226.77,160.67
Boulder,36.72,0,0,0.04,167.95,70.08
Broomfield,0,0,0,0,0,0
Chaffee,15.42,3.8,0,0.02,115.9,49.13
Cheyenne,2.18,23.22,0,42.22,0.33,38.15
Clear Creek,0,0,0,0,0,0
Conejos,69.87,29.46,0,7.71,379.29,256.13
Costilla,22.59,22.59,0,47.71,145.48,121.47
Crowley,16.44,0,0,4.21,32.83,25.39
Custer,24.79,0,0,0.1,50.11,45.56
Delta,48.68,0,0,0.01,505.12,149.12
Denver,0,0,0,0,0,0
Dolores,1.63,6.73,0,4.51,33.88,16
Douglas,2.71,1.7,0,2.45,9.43,7.44
Eagle,19.64,0,0,0.3,161.02,39.02
Elbert,0.82,4.46,0,1.36,35.76,9.5
El Paso,4.41,6.22,0,5.96,29.8,24.2
Fremont,15.79,0,0,0.24,140.58,39.82
Garfield,50.3,0,0,0.18,372.02,65.55
Gilpin,0,0,0,0,0,0
Grand,30.36,0,0,0,253.54,94.3
Gunnison,41.48,0,0,0.52,616.91,148.37
Hinsdale,5.33,0,0,0.06,78.13,12.03
Huerfano,16.93,0,0,0,39.36,28.27
Jackson,114.41,0,0,2.39,477.13,214.46
Jefferson,4.36,0,0,0.15,30.68,10.57
Kiowa,3.31,1.3,0,7.31,1.69,7.71
Kit Carson,11.14,151.68,0,314.53,0.47,266.81
Lake,1.8,0,0,0.03,14.19,0.43
La Plata,54.72,0,0,0.76,412.45,144.24
Larimer,83.01,0,0,67.98,401.58,173.82
Las Animas,24.89,0,0,0.07,69.96,54.62
Lincoln,1.25,3.35,0,14.82,1.76,5.32
Logan,73.95,29.69,0,2.97,315.65,286.96
Mesa,85.01,0,0,0.26,968.79,214.45
Mineral,2.06,0,0,0.68,23.89,4.1
Moffat,18.35,2.17,0,0.94,155.94,64.95
Montezuma,44.3,15.95,0,0.11,276.17,212.96
Montrose,96.29,0,0,0.82,760.49,300.56
Morgan,56.33,88.56,0,115.12,198.51,274.35
Otero,63.77,0,3,19.29,414.98,235.33
Ouray,14.53,0,0,0.15,115.21,42.23
Park,30.26,0,0,0,21.66,19.47
Phillips,3.48,63.28,0,136.21,0,105.97
Pitkin,13.29,0,0,0,141.49,20.98
Prowers,112.14,16.8,0.16,30.77,511.97,352.78
Pueblo,28.03,2.04,0,9.73,129.14,118.31
Rio Blanco,47.53,0,0,4.11,250.29,129.22
Rio Grande,64.98,70.71,0,220.21,594.88,374.67
Routt,52.22,0,0,6.05,205.36,99.35
Saguache,118.6,0,0,392.93,175.15,537.9
San Juan,0,0,0,0,0,0
San Miguel,9.92,0,0,0,30.57,30.02
Sedgwick,20.85,27.23,0,63.22,47.1,110.22
Summit,5.85,0,0,0,66.2,9.67
Teller,0.61,0,0,0,3.88,3.76
Washington,7.17,41.28,0,125.82,6.87,123.63
Weld,24.87,83.73,0,121.1,691.96,787.7
Yuma,8.14,260.4,0,427.33,10.06,366.62
