Continent,Country,min,max,q0.025,q0.1,q0.25,q0.5,q0.75,q0.975,q0.99,q1,mean,median
Asia,Afghanistan,3.282848586,32.90073113,3.282848586,6.784716508,10.27891942,11.61252089,21.19155322,32.18270697,32.41302665,32.90073113,15.47995126,11.61252089
Europe,Albania,0.028464863,2.169768958,0.047505167,0.079882083,0.112334934,0.262959436,0.39420336,1.821303662,1.917464849,2.169768958,0.40091532,0.262959436
Africa,Algeria,1.164464358,8.491613999,1.455660394,1.642361538,2.277351813,2.534634994,2.81332696,7.501709564,7.792758987,8.491613999,3.230412804,2.534634994
Africa,Angola,0.053395348,1.224131474,0.082423459,0.178663524,0.22945315,0.292248017,0.320995937,1.122865257,1.159420155,1.224131474,0.399668713,0.292248017
Americas,Argentina,1.512241863,20.84231221,2.03501431,3.085538542,4.719863475,5.270394548,10.33586392,18.05926479,19.05455576,20.84231221,7.652925195,5.270394548
Asia,Armenia,0.241456161,3.223830959,0.241456161,0.409967452,0.854428463,1.002220511,1.21118101,3.048382898,3.107228133,3.223830959,1.279332322,1.002220511
Europe,Austria,0.010103046,0.627740421,0.013760978,0.0242849,0.035474278,0.069053354,0.104941984,0.4482009,0.486777189,0.627740421,0.108358506,0.069053354
Asia,Azerbaijan,1.345321421,14.86421098,1.345321421,2.599171585,4.57805168,5.079765493,7.254784958,14.33412699,14.54258241,14.86421098,6.563552671,5.079765493
Asia,Bangladesh,4.773052469,45.91749236,4.773052469,10.148096,14.43307272,16.55845451,32.79510704,45.13931637,45.45371325,45.91749236,22.23585287,16.55845451
Europe,Belarus,0.007007544,0.478987831,0.010254816,0.018314556,0.027364088,0.050697728,0.081721851,0.328472035,0.362633719,0.478987831,0.081112944,0.050697728
Europe,Belgium,0.001697393,0.167923474,0.003413195,0.00620408,0.009930603,0.014958947,0.031039522,0.099393977,0.114263981,0.167923474,0.026746946,0.014958947
Americas,Belize,0.000313601,0.177442614,0.000698619,0.001364364,0.004791164,0.01009961,0.018985417,0.10174492,0.121349864,0.177442614,0.022673638,0.01009961
Africa,Benin,0.000743128,0.223932149,0.002426915,0.012121101,0.027802634,0.033525229,0.058434345,0.179808065,0.190728289,0.223932149,0.052858752,0.033525229
Asia,Bhutan,0.020250199,0.355948074,0.020250199,0.021422738,0.058714561,0.089557813,0.109157101,0.331762809,0.335596069,0.355948074,0.124322696,0.089557813
Americas,Bolivia,0.070971517,2.461094624,0.108068187,0.147178692,0.243318814,0.328752378,0.467100159,1.831965309,2.000057225,2.461094624,0.554485322,0.328752378
Europe,Bosnia and Herzegovina,0.000151983,0.028209537,0.000504149,0.000963916,0.001575366,0.002259234,0.006027066,0.015443864,0.017242802,0.028209537,0.004242445,0.002259234
Africa,Botswana,0.00013231,0.1149729,0.000585722,0.004193611,0.011558076,0.014199719,0.029698774,0.085560347,0.09223768,0.1149729,0.023691122,0.014199719
Americas,Brazil,3.506799288,59.06035205,4.92995783,8.275871742,11.70170635,13.25636099,32.3723721,42.97275334,46.42599777,59.06035205,19.34332222,13.25636099
Europe,Bulgaria,0.043740515,3.900580417,0.079223755,0.12819762,0.182108743,0.445185624,0.745927442,3.32761917,3.47424169,3.900580417,0.702848164,0.445185624
Africa,Burkina Faso,0.003287767,0.404351616,0.00832615,0.030852184,0.057864558,0.070878992,0.105468902,0.340038271,0.35630085,0.404351616,0.106185196,0.070878992
Africa,Burundi,0.002841139,0.381559173,0.007375727,0.028029038,0.05396626,0.065877712,0.099468026,0.31944467,0.335313732,0.381559173,0.099130044,0.065877712
Asia,Cambodia,0.495176038,6.105020641,0.495176038,0.887325157,1.678486531,1.971497256,2.456768993,5.805633876,5.927259862,6.105020641,2.528657548,1.971497256
Africa,Cameroon,0.004576467,0.461141898,0.010933387,0.038343519,0.067677347,0.08369269,0.120199693,0.391435033,0.408846029,0.461141898,0.124106906,0.08369269
Americas,Canada,1.067921716,15.102333,1.404543339,2.179840858,3.214977426,3.653219511,6.080985569,13.16769004,13.84021977,15.102333,5.285151561,3.653219511
Africa,Cape Verde,1.59E-05,0.051485173,0.000101947,0.001084723,0.003836935,0.0049571,0.012888654,0.03440803,0.038500597,0.051485173,0.008928673,0.0049571
Africa,Chad,0.006803621,0.539842726,0.015190529,0.049760401,0.082364875,0.102400223,0.140754705,0.464374014,0.482671963,0.539842726,0.149689032,0.102400223
Americas,Chile,1.65239745,22.66578608,2.231665915,3.357162709,5.204165735,5.785415702,11.75984096,19.59459574,20.64798936,22.66578608,8.417671322,5.785415702
Asia,China,65.1022442,1225.455407,65.1022442,143.4405139,179.0923187,201.4019133,456.3225442,899.6300211,980.1595901,1225.455407,291.9958179,201.4019133
Americas,Colombia,0.749358999,10.88204804,0.972678,1.505362526,2.165772422,2.519530623,3.526835179,9.568665137,10.04787845,10.88204804,3.645419174,2.519530623
Europe,Croatia,0.000172389,0.030962891,0.00055934,0.001060196,0.001740012,0.0024808,0.006586566,0.016841172,0.018811828,0.030962891,0.004663832,0.0024808
Americas,Cuba,0.77895659,11.27606966,1.015606982,1.565192292,2.260987787,2.626700901,3.730093453,9.907755842,10.40166915,11.27606966,3.795559813,2.626700901
Asia,Cyprus,0.049145954,0.782932617,0.049145954,0.06704609,0.153707246,0.211368653,0.245916379,0.733505608,0.744304446,0.782932617,0.285356526,0.211368653
Europe,Czechia,0.003695404,0.29846003,0.006235836,0.011205014,0.017375027,0.029369224,0.052765989,0.191211526,0.217602913,0.29846003,0.049038647,0.029369224
Europe,Denmark,0.033916544,2.741954141,0.05864702,0.097217267,0.136971,0.329208532,0.511066425,2.335098353,2.438679671,2.741954141,0.503790059,0.329208532
Africa,Djibouti,3.03E-07,0.011466252,3.93E-06,8.71E-05,0.000484567,0.000691839,0.002497085,0.006299183,0.007341301,0.011466252,0.001477407,0.000691839
Americas,Dominican Republic,0.246229884,4.657344323,0.305078147,0.410674879,0.625381833,0.785406446,1.007554484,3.704625157,3.969649285,4.657344323,1.22833113,0.785406446
Americas,Ecuador,0.719752376,10.53787491,0.93234613,1.440180636,2.068583381,2.412943365,3.318066537,9.245963214,9.702648928,10.53787491,3.495704652,2.412943365
Africa,Egypt,5.154773877,149.6587604,6.578845949,7.766659683,14.15793438,17.3776464,32.67337373,55.66385206,70.7882353,149.6587604,22.39317731,17.3776464
Americas,El Salvador,0.016165326,1.166186306,0.027381579,0.042576842,0.078104444,0.12065353,0.189316273,0.806783201,0.888998182,1.166186306,0.220868531,0.12065353
Africa,Ethiopia,0.646494338,4.160337306,0.735926705,0.794422566,0.962763738,1.186855555,1.273470461,3.896367144,3.989573691,4.160337306,1.564522593,1.186855555
Europe,Finland,0.00697183,0.477182058,0.010215604,0.018242528,0.027261518,0.050467801,0.081458443,0.327049974,0.36116977,0.477182058,0.080786325,0.050467801
Europe,France,0.186267406,36.6887053,0.419748365,0.691337042,0.910222241,2.38960274,5.582187328,25.98336969,28.8747868,36.6887053,4.832473698,2.38960274
Africa,Gambia,2.63E-05,0.062263678,0.000154269,0.001492716,0.004969508,0.00636423,0.015704113,0.042668833,0.047396802,0.062263678,0.011237612,0.00636423
Asia,Georgia,0.376400399,4.784012772,0.376400399,0.660732195,1.297003361,1.491986559,1.879632745,4.537774569,4.633104239,4.784012772,1.948656768,1.491986559
Europe,Germany,0.039212217,3.328277716,0.069545379,0.112929334,0.161175012,0.391581681,0.635118511,2.85119886,2.986698696,3.328277716,0.609035411,0.391581681
Africa,Ghana,0.029199938,0.963088706,0.0503861,0.126595052,0.167570718,0.214997739,0.250922202,0.866867306,0.893934725,0.963088706,0.299279665,0.214997739
Europe,Greece,0.106457366,14.75289823,0.22257247,0.365553092,0.485565673,1.250788484,2.67546527,11.71412035,12.66501078,14.75289823,2.281268494,1.250788484
Americas,Guatemala,0.078648911,2.593137864,0.117457564,0.160759134,0.263166535,0.35258813,0.497739697,1.941799822,2.118665969,2.593137864,0.591476613,0.35258813
Africa,Guinea,0.063392584,1.310993995,0.094718869,0.194538553,0.252487188,0.319031252,0.345547063,1.20973448,1.247139196,1.310993995,0.434231441,0.319031252
Americas,Guyana,0.074642711,2.525067136,0.112553697,0.153045336,0.25281001,0.340258965,0.481861912,1.884054183,2.057448528,2.525067136,0.572343097,0.340258965
Americas,Haiti,0.043433122,1.91698203,0.069100103,0.097980307,0.167133145,0.234906524,0.345970291,1.393964805,1.518391633,1.91698203,0.407718931,0.234906524
Americas,Honduras,0.032700558,1.660461341,0.053339309,0.077708717,0.134338577,0.193303547,0.291931867,1.190769658,1.300838625,1.660461341,0.341648065,0.193303547
Europe,Hungary,0.026638061,1.985811152,0.04406007,0.074310051,0.104396143,0.24173964,0.357269591,1.655789306,1.753370011,1.985811152,0.367785825,0.24173964
Asia,India,66.90071167,1271.784205,66.90071167,147.0100759,184.2349137,206.5988582,467.5870402,931.311194,1015.380078,1271.784205,300.0991655,206.5988582
Asia,Indonesia,6.192091142,57.90872015,6.192091142,13.42745692,18.27628142,21.19288393,44.74534128,57.14421439,57.44881937,57.90872015,28.62865182,21.19288393
Asia,Iran,9.363458917,87.39635161,9.363458917,20.9517499,27.47618241,31.29359513,71.52960462,83.15714458,83.63170413,87.39635161,42.83771053,31.29359513
Europe,Ireland,4.11E-06,0.002217567,2.41E-05,4.72E-05,8.62E-05,0.000159372,0.000378759,0.001300326,0.001604543,0.002217567,0.000299429,0.000159372
Asia,Israel,0.156974873,2.198426429,0.156974873,0.258069495,0.545623619,0.679154735,0.754002149,2.073587089,2.108808266,2.198426429,0.851515132,0.679154735
