country,ISO          ,GCAM_R14   ,ag,irr,ind,muni,trtww,pow_irr
Afghanistan,afg,11,32.77,32.44,0.21,0.25,0.04,24.92
Albania,alb,12,0.31,0.31,0.14,0.34,0.15,0.02
Algeria,dza,9,4.99,4.94,0.42,3.02,0.32,47.25
Andorra,and,3,0.01,0.01,0.02,0.02,0.01,45.23
Angola,ago,9,0.16,0.16,0.26,0.35,0.04,17.92
Antigua and Barbuda,atg,10,0.00,0.00,0.00,0.01,0.00,23.44
Argentina,arg,10,27.93,27.65,4.00,5.85,0.29,16.97
Armenia,arm,6,1.94,1.91,0.13,0.87,0.09,0.90
Australia,aus,5,9.59,6.60,2.69,3.74,1.78,31.52
Austria,aut,3,0.09,0.09,2.70,0.61,0.60,45.23
Azerbaijan,aze,6,9.15,9.05,2.31,0.51,0.16,0.90
Bahamas,bhs,10,0.18,0.17,0.03,0.10,0.01,23.44
Bahrain,bhr,8,0.17,0.16,0.02,0.19,0.07,54.20
Bangladesh,bgd,11,31.50,31.19,0.77,3.60,0.52,78.97
Barbados,brb,10,0.05,0.05,0.01,0.02,0.00,23.44
Belarus,blr,6,0.47,0.11,0.49,0.59,0.58,0.90
Belgium,bel,3,0.04,0.04,5.43,0.71,0.50,45.23
Belize,blz,10,0.16,0.16,0.05,0.03,0.00,23.44
Benin,ben,9,0.04,0.03,0.02,0.03,0.00,17.92
Bhutan,btn,11,0.32,0.31,0.00,0.02,0.00,4.12
Bolivia (Plurinational State of),bol,10,1.92,1.90,0.03,0.14,0.04,4.76
Bosnia and Herzegovina,bih,12,0.03,0.02,0.19,0.11,0.05,0.02
Botswana,bwa,9,0.10,0.04,0.04,0.10,0.01,17.92
Brazil,bra,10,44.90,44.45,12.72,17.21,3.10,23.44
Brunei Darussalam,brn,11,0.10,0.09,0.02,0.03,0.00,24.92
Bulgaria,bgr,12,1.00,0.32,4.15,0.98,0.45,0.02
Burkina Faso,bfa,9,0.47,0.47,0.02,0.42,0.00,11.11
Burundi,bdi,9,0.17,0.05,0.01,0.04,0.00,17.92
CA-te d'Ivoire,civ,9,0.60,0.59,0.28,0.61,0.00,17.92
Cambodia,khm,7,2.44,2.30,0.04,0.12,0.00,20.00
Cameroon,cmr,9,1.52,1.51,0.14,0.33,0.04,17.92
Canada,can,2,4.75,2.16,28.53,5.52,4.89,12.84
Cape Verde,cpv,9,0.03,0.03,0.00,0.00,0.00,17.92
Central African Republic,caf,9,0.00,0.00,0.01,0.07,0.01,17.92
Chad,tcd,9,0.70,0.69,0.11,0.11,0.01,17.92
Chile,chl,10,35.09,27.30,5.66,1.51,0.31,23.44
China,chn,7,363.69,330.11,130.64,68.60,18.17,20.00
Colombia,col,10,6.39,5.87,2.24,3.13,0.15,23.44
Comoros,com,9,0.01,0.01,0.00,0.01,0.00,17.92
Congo,cog,9,0.01,0.01,0.04,0.10,0.00,17.92
Cook Islands,cok,5,0.01,0.01,0.00,0.00,0.00,31.52
Costa Rica,cri,10,1.27,1.06,0.25,0.73,0.05,9.05
Croatia,hrv,12,0.01,0.01,0.09,0.53,0.26,0.02
Cuba,cub,10,3.57,3.53,1.79,1.70,0.22,34.74
Cyprus,cyp,3,0.16,0.16,0.01,0.02,0.02,45.23
Czech Republic,cze,12,0.04,0.03,1.16,0.64,0.29,0.02
Democratic People's Republic of Korea,prk,7,6.69,4.36,1.16,0.91,0.32,20.00
Democratic Republic of the Congo,cod,9,0.08,0.08,0.17,0.53,0.07,7.08
Denmark,dnk,3,0.16,0.10,0.13,0.36,0.25,45.23
Djibouti,dji,9,0.00,0.00,0.00,0.02,0.00,17.92
Dominica,dma,10,0.00,0.00,0.00,0.02,0.00,23.44
Dominican Republic,dom,10,5.72,3.95,0.59,0.86,0.01,23.44
Ecuador,ecu,10,8.52,8.44,0.58,1.36,0.24,23.44
Egypt,egy,9,75.29,74.54,5.10,6.76,2.42,17.92
El Salvador,slv,10,1.93,1.88,0.29,0.64,0.00,21.69
Equatorial Guinea,gnq,9,0.00,0.00,0.00,0.02,0.00,17.92
