Country,Continent,Codes,Meier,FAO-GMIA,FAOSTAT,Aquastat,GRIPC,IWMI-GIAM
Afghanistan,Asia,4,3604300,3348400,3206300,3208000,561800,1008100
Åland Islands,Europe,248,1800,1800,0,,0,
Albania,Europe,8,544600,343300,345700,339000,331300,223800
Algeria,Africa,12,730900,606400,569200,899700,1091300,144300
Angola,Africa,24,85900,83600,84500,85500,63200,23300
Argentina,Americas,32,1790700,1692200,1898100,2357000,2204000,9304300
Armenia,Asia,51,274000,270500,274000,273500,81000,106700
Aruba,Americas,533,0,0,0,,0,
Australia,Oceania,36,3647900,3604500,2511900,2465000,5806200,11865200
Austria,Europe,40,106800,106800,107200,101400,200,116500
Azerbaijan,Asia,31,1617500,1416900,1429600,1425700,1596400,835600
Bahamas,Americas,44,0,0,1000,1000,8300,
Bahrain,Asia,48,1500,1500,4000,4100,100,
Bangladesh,Asia,50,5329100,4803300,4819500,5050000,6280400,5235100
Barbados,Americas,52,900,900,5000,5400,1100,
Belarus,Europe,112,82200,82200,116600,86600,100,84100
Belgium,Europe,56,29800,29800,25100,23200,400,324800
Belize,Americas,84,4400,4400,3300,3500,6300,3900
Benin,Africa,204,46700,11400,17800,17700,13600,15200
Bhutan,Asia,64,25000,24800,28500,29800,28900,1000
Bolivia,Americas,68,131100,127400,261800,261900,254900,214100
Bosnia & Herzegovina,Europe,70,18000,5300,3000,3000,10900,10800
Botswana,Africa,72,5100,5100,1600,1400,8500,5400
Brazil,Americas,76,4882800,3973100,4492900,4293000,8657500,4195100
Bulgaria,Europe,100,615700,562500,253000,121100,414400,1301800
Burkina Faso,Africa,854,89700,22800,38500,39600,1500,15700
Myanmar (Burma),Asia,104,4640500,2119300,2120800,2050000,3266000,4453000
Burundi,Africa,108,21300,21300,22600,21400,7800,11800
Cambodia,Asia,116,546600,540600,325600,318900,2147700,736300
Cameroon,Africa,120,94300,26600,27500,25700,66600,52700
Canada,Americas,124,1191800,1191800,842100,1218000,475400,2658300
Cape Verde,Africa,132,2300,1900,3300,3500,2400,0
Central African Republic,Africa,140,400,0,1000,,0,1200
Chad,Africa,148,174800,32000,29100,30300,369200,25200
Chile,Americas,152,1891000,1850300,1104200,1109000,1390200,1514900
