Country,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368066001,,,,,0.541889099,,,,,0.885261668,,,,,1.022642732,,,
Angola,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9548741,,,,,56.1080392,,,,,54.35369623,,,,,64.25129696,,,,,101.4421616,,,,,133.3652266,,,,,144.0740152,,,
Albania,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.411771784,,,,,3.688966574,,,,,4.719682775,,,,,8.163359836,,,,,10.37642764,,,,,11.7654776,,,
Andorra,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,1.576663526,,,,,3.183422404,,,,,3.232511141,,,,,5.79615486,,,,,6.264010372,,,,20.96494188,6.871774474,,,18.71393287,,9.439676594,,,,,11.46286818,,,,,13.17109509,,,
United Arab Emirates,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,109.0299849,,,,,66.37344479,,,,,81.18733907,,,,,84.87986372,,,,,91.5112508,,,,,105.2744318,,,,,120.0227843,,,,,153.529323,,,
Argentina,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,7.46629082,,,,,7.439003893,,,,,8.075341771,,,,,8.442711781,,,,,10.39870368,,,,,8.148225039,,,,,11.218396,,,,,11.79232013,,,,,12.17625216,,,
Armenia,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.983262167,,,,,3.085012674,,,,,3.276028096,,,,,3.534034563,,,,,4.315758661,,,
American Samoa,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.5717869,,,,,263.1530191,,,,,217.6662534,,,,,288.9791002,,,,,264.5878827,,,,,308.4103714,,,
Australia,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9072283,,,,,43.357925,,,,,65.75332529,,,,,79.14942487,,,,,86.4937304,,,
Austria,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,61.78419544,,,,,63.34706366,,,,,75.04076428,,,,,83.32247968,,,,,96.83736696,,,,,111.8827648,,,,,116.3586057,,,,,123.5972493,,,
Azerbaijan,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.075549791,,,,,0.812586837,,,,,1.593823328,,,,,3.401735639,,,,,4.445917082,,,,,4.444316073,,,
Burundi,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,16.19172093,,,,,10.98013669,,,,,5.814042868,,,,,5.471428415,,,,,6.339708898,,,,,7.883221328,,,,,8.277367933,,,
Belgium,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,29.99158091,,,,,33.62204474,,,,,40.04958363,,,,,48.19642273,,,,,61.95324792,,,,,76.45303025,,,,,92.96546112,,,,,132.1760609,,,
Benin,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,31.68880179,,,,,30.97781212,,,,,39.22689202,,,,,55.28861226,,,,,66.92503674,,,,,79.15624421,,,,,100.2983649,,,
Burkina Faso,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,10.01500919,,,,,9.839259254,,,,,10.24662526,,,,,8.354243122,,,,,10.46175202,,,,,14.05005151,,,,,18.13451468,,,
Bangladesh,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.644689593,,,,,5.017901276,,,
Bulgaria,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,2.455781859,,,,,3.235433249,,,,,4.763804392,,,,,4.936451955,,,,,5.435084038,,,,,7.88109359,,,,,9.056098305,,,,,10.44754975,,,
Bahrain,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.80252442,,,,,51.30612769,,,,,63.14635061,,,,,104.2352328,,,,,143.2107593,,,,,213.5348505,,,
"Bahamas, The","Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.11176153,,,,,42.73804746,,,,,39.29420822,,,,,48.72811387,,,
Belarus,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.29221107,,,,,17.27773577,,,,,29.26314449,,,,,40.19952095,,,,,43.34586781,,,
Belize,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,19.27831149,,,,,18.78637049,,,,,9.973578036,,,,,10.37241263,,,,,12.76412213,,,,,14.23314456,,,,,15.66919358,,,
Bermuda,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,6.719696315,,,,,6.482268432,,,,,6.797270516,,,,,7.030079498,,,,,8.294354422,,,,,10.40761695,,,,,13.35292594,,,
Brazil,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,33.95918651,,,,,26.09723535,,,,,26.51346079,,,,,28.33003121,,,,,31.45473295,,,,,33.5065441,,,,,34.87646058,,,
Barbados,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,55.18175369,,,,,53.2,,,,,53.67407407,,,,,45.39333333,,,,,48.01234568,,,,,51.35802469,,,,,69.28571429,,,,,63.98571429,,,,,66.46428571,,,
Brunei Darussalam,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.454506,,,,,123.4586398,,,,,138.8684531,,,,,150.7515872,,,,,155.984439,,,,,146.501969,,,
Bhutan,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.200114698,,,,,6.778336876,,,
Botswana,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,38.19962003,,,,,52.05474865,,,,,46.58180928,,,,,46.79811099,,,,,61.23498405,,,,,72.86158665,,,,,89.79520008,,,
Central African Republic,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,69.64219491,,,,,34.11928477,,,,,26.27148203,,,,,24.24759181,,,,,25.48779458,,,,,32.34880394,,,,,23.52588138,,,
Canada,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,22.11377755,,,,,22.46594372,,,,,25.55238587,,,,,30.34255398,,,,,38.63373642,,,,,46.47546146,,,,,52.33526796,,,
Central Europe and the Baltics,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.164811869,,,,,16.34012646,,,,,23.44033781,,,,,32.95569088,,,,,38.81066747,,,,,48.53983021,,,
Switzerland,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,124.2061911,,,,,133.1730024,,,,,145.415815,,,,,158.7961547,,,,,174.9371068,,,,,196.3245127,,,,,250.9315147,,,,,299.145783,,,,,378.6465663,,,
Channel Islands,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.653113075,,,,,5.140503793,,,,,4.951411383,,,,,5.728375162,,,,,6.905272768,,,,,7.6983798,,,
China,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,0.847792657,,,,,1.406661422,,,,,1.998754614,,,,,3.281733363,,,,,4.779458565,,,,,8.065145707,,,,,12.01224948,,,,,17.21124954,,,
Cote d'Ivoire,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,24.35459445,,,,,15.21888784,,,,,16.18963015,,,,,15.00147216,,,,,15.77231029,,,,,21.12571188,,,,,33.6649323,,,
Cameroon,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,47.03362897,,,,,36.8798753,,,,,20.90312495,,,,,19.06174045,,,,,21.98114554,,,,,26.17416721,,,,,33.44385772,,,
"Congo, Dem. Rep.","Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00538527,,,,,22.06662913,,,,,26.95777346,,,,,36.10547324,,,,,48.69217781,,,
"Congo, Rep.","Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,168.5330487,,,,,177.8468082,,,,,171.2084976,,,,,193.2744454,,,,,219.0912818,,,,,321.1995701,,,,,280.0462894,,,
Colombia,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.95165935,,,,,23.30595592,,,,,25.11062995,,,,,27.40335285,,,
Comoros,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.60486591,,,,,81.50142482,,,,,97.54535839,,,,,112.880502,,,
Cabo Verde,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.76080751,,,,,61.57150056,,,,,69.13385422,,,,,76.89863401,,,
Costa Rica,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.41708282,,,,,15.15028559,,,
Caribbean small states,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,55.18175369,,,,,53.2,,,,,11.52017712,,,,,4.376808822,,,,,9.139384024,,,,,9.893911016,,,80.68695569,,13.12265668,,,,,13.23364535,,59.83817905,,,13.80590785,,,
Cuba,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.584889266,,,,,7.726207075,,,,,12.04927448,,,,,10.25139322,,,,,10.86393533,,,
Curacao,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,31.55301837,,,,,37.79261397,,,,,44.72386557,,,,,61.3298883,,,,,86.60525816,,,,,116.9893664,,,,,151.3544324,,,,,97.70944275,,,,,122.3951567,,,
Czech Republic,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.30614883,,,,,83.75061403,,,,,105.8437748,,,,,114.6925802,,,,,150.4306769,,,
Germany,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.98824541,,,,,68.3513229,,,,,85.63458669,,,,,106.1392057,,,,,127.1289218,,,,,158.4697417,,,
Djibouti,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.96267212,,,,,22.73101691,,,,,25.31903993,,,,,24.37520239,,,,,23.44325253,,,
Denmark,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,176.3129976,,,,,146.3640672,,,,,136.6164974,,,,,167.6552385,,,,,199.1544865,,,,,297.7220508,,,,,462.3169943,,,,,601.5501732,,,,,448.9206708,,,,,491.7541014,,,
Dominican Republic,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19530594,,,,,7.765892553,,,,,7.199875067,,,,,8.423283021,,,
Algeria,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,20.11397524,,,,,21.91834647,,,,,23.97844409,,,,,22.63980173,,,,,19.78872018,,,,,18.59330554,,,,,19.86911485,,,,,21.58531424,,,,,21.98294861,,,,,20.23597883,,,
